Ticker,Volatile value,cumulative Returns
TRENT,2.307379893,223.0926133
BEL,2.328339206,101.7600575
M&M,1.921277295,95.97697411
BAJAJ-AUTO,1.760936994,89.01115331
BHARTIARTL,1.362450773,69.59904896
POWERGRID,1.86714423,68.85492358
BPCL,2.20688511,67.47715022
HEROMOTOCO,1.656323803,58.97665473
SUNPHARMA,1.173282294,57.28240396
HCLTECH,1.429465068,53.25744732
NTPC,1.94750117,51.513267
EICHERMOT,1.609889841,48.77961449
SHRIRAMFIN,2.168666461,48.28949765
TECHM,1.601986887,43.68113797
COALINDIA,2.141144915,41.84652278
WIPRO,1.746788628,40.99149094
ULTRACEMCO,1.431459671,36.97094486
ADANIPORTS,2.602864345,36.72720712
ICICIBANK,1.278889739,35.91938743
HINDALCO,1.958683641,35.86831962
GRASIM,1.446511381,35.78198804
APOLLOHOSP,1.413457471,35.47895565
SBIN,1.793934482,35.34289742
ONGC,2.224731218,33.04442037
INFY,1.449191305,32.65341702
TATAMOTORS,1.787650516,27.48811347
JSWSTEEL,1.638393236,26.88737423
CIPLA,1.633241577,25.67636118
TCS,1.316177159,20.79627759
LT,1.696390415,17.25372163
HDFCBANK,1.348980041,15.75213023
SBILIFE,1.511342843,14.90966769
TATASTEEL,1.823163915,11.546875
DRREDDY,1.249010021,11.17875387
TATACONSUM,1.480477367,9.753831863
AXISBANK,1.562496493,9.735363335
RELIANCE,1.356206713,9.172792215
HDFCLIFE,1.463007726,8.62599637
ITC,1.194370246,7.936327459
BRITANNIA,1.303921837,7.850159606
MARUTI,1.371249377,6.926712349
TITAN,1.413589304,3.518185373
BAJAJFINSV,1.411784954,2.549565997
KOTAKBANK,1.421566388,1.991835789
NESTLEIND,1.251683364,0.707141321
HINDUNILVR,1.20738958,-0.957916481
ADANIENT,2.860052379,-6.670855587
BAJFINANCE,1.59184949,-16.11087404
ASIANPAINT,1.266467967,-21.93504587
INDUSINDBK,1.911119334,-30.45840881
